                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.01398,                0.08586,                0.01957,                0.01119,                    nan,                    nan,                    nan,             0.00019998,             0.00019998,             0.00019998
                      2,                    nan,                    nan,                    nan,                0.01398,                0.08586,                0.01957,                0.01119,                    nan,                    nan,                    nan,             0.00040598,             0.00040598,             0.00040598
                      3,                    nan,                    nan,                    nan,                0.01398,                0.08586,                0.01957,                0.01119,                    nan,                    nan,                    nan,             0.00060676,             0.00060676,             0.00060676
                      4,                    nan,                    nan,                    nan,                0.00023,                0.00505,                0.00012,                  7e-05,                    nan,                    nan,                    nan,             0.00080232,             0.00080232,             0.00080232
                      5,                    nan,                    nan,                    nan,                0.00061,                0.01515,                0.00032,                 0.0001,                    nan,                    nan,                    nan,             0.00099265,             0.00099265,             0.00099265
                      6,                    nan,                    nan,                    nan,                 0.0006,                0.01515,                0.00031,                 0.0001,                    nan,                    nan,                    nan,              0.0010423,              0.0010423,              0.0010423
                      7,                    nan,                    nan,                    nan,                0.00076,                 0.0202,                 0.0004,                0.00013,                    nan,                    nan,                    nan,              0.0010285,              0.0010285,              0.0010285
                      8,                    nan,                    nan,                    nan,                0.00056,                0.01515,                 0.0003,                0.00013,                    nan,                    nan,                    nan,              0.0010148,              0.0010148,              0.0010148
                      9,                    nan,                    nan,                    nan,                0.00057,                0.01515,                 0.0003,                0.00014,                    nan,                    nan,                    nan,               0.001001,               0.001001,               0.001001
                     10,                    nan,                    nan,                    nan,                0.00056,                0.01515,                0.00029,                0.00013,                    nan,                    nan,                    nan,             0.00098726,             0.00098726,             0.00098726
                     11,                    nan,                    nan,                    nan,                0.00057,                0.01515,                 0.0003,                0.00013,                    nan,                    nan,                    nan,             0.00097351,             0.00097351,             0.00097351
                     12,                    nan,                    nan,                    nan,                0.00056,                0.01515,                0.00029,                0.00015,                    nan,                    nan,                    nan,             0.00095977,             0.00095977,             0.00095977
                     13,                    nan,                    nan,                    nan,                0.00055,                0.01515,                0.00029,                0.00015,                    nan,                    nan,                    nan,             0.00094602,             0.00094602,             0.00094602
                     14,                    nan,                    nan,                    nan,                0.00056,                0.01515,                0.00029,                0.00016,                    nan,                    nan,                    nan,             0.00093227,             0.00093227,             0.00093227
                     15,                    nan,                    nan,                    nan,                0.00057,                0.01515,                 0.0003,                0.00015,                    nan,                    nan,                    nan,             0.00091852,             0.00091852,             0.00091852
                     16,                    nan,                    nan,                    nan,                0.00056,                0.01515,                0.00029,                0.00013,                    nan,                    nan,                    nan,             0.00090477,             0.00090477,             0.00090477
                     17,                    nan,                    nan,                    nan,                0.00056,                0.01515,                0.00029,                0.00013,                    nan,                    nan,                    nan,             0.00089102,             0.00089102,             0.00089102
                     18,                    nan,                    nan,                    nan,                0.00056,                0.01515,                0.00029,                0.00011,                    nan,                    nan,                    nan,             0.00087727,             0.00087727,             0.00087727
                     19,                    nan,                    nan,                    nan,                0.00057,                0.01515,                 0.0003,                0.00014,                    nan,                    nan,                    nan,             0.00086352,             0.00086352,             0.00086352
                     20,                    nan,                    nan,                    nan,                0.00057,                0.01515,                 0.0003,                0.00015,                    nan,                    nan,                    nan,             0.00084978,             0.00084978,             0.00084978
                     21,                    nan,                    nan,                    nan,                0.00056,                0.01515,                0.00029,                0.00013,                    nan,                    nan,                    nan,             0.00083603,             0.00083603,             0.00083603
